NPI,Doctor_Name,Specialty,Territory_ID,Prescriber_Decile,Is_KOL,Affiliated_Hospital_System
NPI_1000000001,Dr. Provider_1,Endocrinologist,TER_SO_01,1,0,HealthSystem_7
NPI_1000000002,Dr. Provider_2,Endocrinologist,TER_WE_01,1,0,HealthSystem_4
NPI_1000000003,Dr. Provider_3,Cardiologist,TER_MW_01,1,1,HealthSystem_12
NPI_1000000004,Dr. Provider_4,Internal Medicine,TER_NE_02,1,0,HealthSystem_12
NPI_1000000005,Dr. Provider_5,Rheumatologist,TER_SO_01,3,0,HealthSystem_10
NPI_1000000006,Dr. Provider_6,Cardiologist,TER_MW_02,2,0,HealthSystem_15
NPI_1000000007,Dr. Provider_7,Rheumatologist,TER_MW_02,3,0,HealthSystem_3
NPI_1000000008,Dr. Provider_8,Internal Medicine,TER_WE_01,1,0,HealthSystem_4
NPI_1000000009,Dr. Provider_9,Internal Medicine,TER_SO_02,6,0,HealthSystem_2
NPI_1000000010,Dr. Provider_10,Rheumatologist,TER_WE_01,5,0,HealthSystem_8
NPI_1000000011,Dr. Provider_11,Cardiologist,TER_SO_02,3,0,HealthSystem_4
NPI_1000000012,Dr. Provider_12,Cardiologist,TER_SO_02,2,0,HealthSystem_18
NPI_1000000013,Dr. Provider_13,Rheumatologist,TER_NE_02,3,1,HealthSystem_16
NPI_1000000014,Dr. Provider_14,Cardiologist,TER_SO_02,1,0,HealthSystem_8
NPI_1000000015,Dr. Provider_15,Internal Medicine,TER_SO_01,2,0,HealthSystem_13
NPI_1000000016,Dr. Provider_16,Cardiologist,TER_WE_01,1,0,HealthSystem_9
NPI_1000000017,Dr. Provider_17,Rheumatologist,TER_MW_02,2,0,HealthSystem_19
NPI_1000000018,Dr. Provider_18,Rheumatologist,TER_MW_01,6,0,HealthSystem_10
NPI_1000000019,Dr. Provider_19,Endocrinologist,TER_NE_01,8,0,HealthSystem_12
NPI_1000000020,Dr. Provider_20,Cardiologist,TER_WE_02,2,0,HealthSystem_5
NPI_1000000021,Dr. Provider_21,Rheumatologist,TER_WE_02,2,0,HealthSystem_3
NPI_1000000022,Dr. Provider_22,Cardiologist,TER_SO_02,7,0,HealthSystem_14
NPI_1000000023,Dr. Provider_23,Endocrinologist,TER_NE_01,5,0,HealthSystem_13
NPI_1000000024,Dr. Provider_24,Cardiologist,TER_WE_02,4,0,HealthSystem_4
NPI_1000000025,Dr. Provider_25,Internal Medicine,TER_WE_01,4,0,HealthSystem_4
NPI_1000000026,Dr. Provider_26,Internal Medicine,TER_WE_01,2,0,HealthSystem_2
NPI_1000000027,Dr. Provider_27,Rheumatologist,TER_SO_02,4,0,HealthSystem_12
NPI_1000000028,Dr. Provider_28,Cardiologist,TER_SO_02,7,0,HealthSystem_7
NPI_1000000029,Dr. Provider_29,Internal Medicine,TER_NE_01,2,0,HealthSystem_13
NPI_1000000030,Dr. Provider_30,Internal Medicine,TER_WE_01,1,0,HealthSystem_5
NPI_1000000031,Dr. Provider_31,Rheumatologist,TER_NE_02,2,1,HealthSystem_9
NPI_1000000032,Dr. Provider_32,Endocrinologist,TER_SO_02,9,1,HealthSystem_7
NPI_1000000033,Dr. Provider_33,Endocrinologist,TER_NE_01,1,1,HealthSystem_17
NPI_1000000034,Dr. Provider_34,Oncologist,TER_MW_02,1,0,HealthSystem_1
NPI_1000000035,Dr. Provider_35,Rheumatologist,TER_SO_02,1,0,HealthSystem_6
NPI_1000000036,Dr. Provider_36,Cardiologist,TER_MW_02,1,0,HealthSystem_17
NPI_1000000037,Dr. Provider_37,Rheumatologist,TER_WE_02,3,1,HealthSystem_11
NPI_1000000038,Dr. Provider_38,Internal Medicine,TER_WE_02,7,0,HealthSystem_6
NPI_1000000039,Dr. Provider_39,Rheumatologist,TER_MW_01,4,0,HealthSystem_19
NPI_1000000040,Dr. Provider_40,Rheumatologist,TER_WE_01,2,0,HealthSystem_9
NPI_1000000041,Dr. Provider_41,Rheumatologist,TER_WE_02,3,0,HealthSystem_11
NPI_1000000042,Dr. Provider_42,Cardiologist,TER_NE_01,2,0,HealthSystem_10
NPI_1000000043,Dr. Provider_43,Cardiologist,TER_MW_02,1,1,HealthSystem_17
NPI_1000000044,Dr. Provider_44,Cardiologist,TER_WE_02,9,0,HealthSystem_9
NPI_1000000045,Dr. Provider_45,Cardiologist,TER_MW_01,5,0,HealthSystem_1
NPI_1000000046,Dr. Provider_46,Rheumatologist,TER_MW_01,8,0,HealthSystem_8
NPI_1000000047,Dr. Provider_47,Rheumatologist,TER_MW_01,2,1,HealthSystem_18
NPI_1000000048,Dr. Provider_48,Cardiologist,TER_NE_02,3,0,HealthSystem_9
NPI_1000000049,Dr. Provider_49,Cardiologist,TER_MW_02,2,0,HealthSystem_8
NPI_1000000050,Dr. Provider_50,Internal Medicine,TER_NE_01,2,0,HealthSystem_19
NPI_1000000051,Dr. Provider_51,Rheumatologist,TER_SO_02,2,1,HealthSystem_13
NPI_1000000052,Dr. Provider_52,Endocrinologist,TER_WE_02,4,0,HealthSystem_1
NPI_1000000053,Dr. Provider_53,Endocrinologist,TER_WE_02,7,0,HealthSystem_16
NPI_1000000054,Dr. Provider_54,Cardiologist,TER_MW_01,6,0,HealthSystem_12
NPI_1000000055,Dr. Provider_55,Internal Medicine,TER_SO_01,2,0,HealthSystem_9
NPI_1000000056,Dr. Provider_56,Oncologist,TER_SO_01,3,1,HealthSystem_3
NPI_1000000057,Dr. Provider_57,Oncologist,TER_MW_02,2,0,HealthSystem_1
NPI_1000000058,Dr. Provider_58,Cardiologist,TER_WE_02,2,0,HealthSystem_3
NPI_1000000059,Dr. Provider_59,Endocrinologist,TER_WE_02,2,0,HealthSystem_2
NPI_1000000060,Dr. Provider_60,Cardiologist,TER_NE_02,7,0,HealthSystem_1
NPI_1000000061,Dr. Provider_61,Cardiologist,TER_SO_02,2,0,HealthSystem_3
NPI_1000000062,Dr. Provider_62,Cardiologist,TER_WE_02,8,0,HealthSystem_4
NPI_1000000063,Dr. Provider_63,Rheumatologist,TER_NE_01,1,0,HealthSystem_14
NPI_1000000064,Dr. Provider_64,Internal Medicine,TER_WE_01,1,0,HealthSystem_19
NPI_1000000065,Dr. Provider_65,Endocrinologist,TER_WE_01,10,0,HealthSystem_17
NPI_1000000066,Dr. Provider_66,Cardiologist,TER_SO_02,2,0,HealthSystem_5
NPI_1000000067,Dr. Provider_67,Endocrinologist,TER_SO_01,2,1,HealthSystem_7
NPI_1000000068,Dr. Provider_68,Cardiologist,TER_SO_01,1,0,HealthSystem_3
NPI_1000000069,Dr. Provider_69,Rheumatologist,TER_MW_02,1,1,HealthSystem_10
NPI_1000000070,Dr. Provider_70,Cardiologist,TER_NE_01,3,0,HealthSystem_5
NPI_1000000071,Dr. Provider_71,Cardiologist,TER_SO_02,7,0,HealthSystem_1
NPI_1000000072,Dr. Provider_72,Cardiologist,TER_NE_01,3,0,HealthSystem_16
NPI_1000000073,Dr. Provider_73,Cardiologist,TER_SO_01,2,1,HealthSystem_7
NPI_1000000074,Dr. Provider_74,Rheumatologist,TER_SO_01,4,0,HealthSystem_12
NPI_1000000075,Dr. Provider_75,Endocrinologist,TER_MW_01,6,0,HealthSystem_14
NPI_1000000076,Dr. Provider_76,Cardiologist,TER_WE_01,1,0,HealthSystem_5
NPI_1000000077,Dr. Provider_77,Endocrinologist,TER_NE_02,6,0,HealthSystem_4
NPI_1000000078,Dr. Provider_78,Cardiologist,TER_SO_02,4,0,HealthSystem_5
NPI_1000000079,Dr. Provider_79,Internal Medicine,TER_MW_02,2,0,HealthSystem_1
NPI_1000000080,Dr. Provider_80,Endocrinologist,TER_SO_01,1,0,HealthSystem_2
NPI_1000000081,Dr. Provider_81,Cardiologist,TER_WE_02,4,0,HealthSystem_12
NPI_1000000082,Dr. Provider_82,Endocrinologist,TER_MW_02,1,0,HealthSystem_11
NPI_1000000083,Dr. Provider_83,Internal Medicine,TER_MW_01,6,0,HealthSystem_11
NPI_1000000084,Dr. Provider_84,Cardiologist,TER_SO_01,2,0,HealthSystem_19
NPI_1000000085,Dr. Provider_85,Rheumatologist,TER_WE_01,1,0,HealthSystem_10
NPI_1000000086,Dr. Provider_86,Cardiologist,TER_NE_02,2,0,HealthSystem_18
NPI_1000000087,Dr. Provider_87,Rheumatologist,TER_SO_01,1,0,HealthSystem_4
NPI_1000000088,Dr. Provider_88,Cardiologist,TER_NE_01,4,0,HealthSystem_3
NPI_1000000089,Dr. Provider_89,Endocrinologist,TER_NE_02,2,0,HealthSystem_5
NPI_1000000090,Dr. Provider_90,Cardiologist,TER_WE_01,6,0,HealthSystem_9
NPI_1000000091,Dr. Provider_91,Endocrinologist,TER_NE_01,3,0,HealthSystem_13
NPI_1000000092,Dr. Provider_92,Internal Medicine,TER_NE_01,1,1,HealthSystem_19
NPI_1000000093,Dr. Provider_93,Cardiologist,TER_WE_01,9,0,HealthSystem_19
NPI_1000000094,Dr. Provider_94,Endocrinologist,TER_WE_02,3,0,HealthSystem_4
NPI_1000000095,Dr. Provider_95,Internal Medicine,TER_WE_02,6,0,HealthSystem_10
NPI_1000000096,Dr. Provider_96,Oncologist,TER_SO_02,4,0,HealthSystem_11
NPI_1000000097,Dr. Provider_97,Rheumatologist,TER_WE_01,1,0,HealthSystem_12
NPI_1000000098,Dr. Provider_98,Internal Medicine,TER_SO_02,1,0,HealthSystem_10
NPI_1000000099,Dr. Provider_99,Endocrinologist,TER_MW_01,5,0,HealthSystem_5
NPI_1000000100,Dr. Provider_100,Cardiologist,TER_WE_02,2,0,HealthSystem_17
NPI_1000000101,Dr. Provider_101,Internal Medicine,TER_NE_01,4,0,HealthSystem_19
NPI_1000000102,Dr. Provider_102,Rheumatologist,TER_SO_02,5,0,HealthSystem_19
NPI_1000000103,Dr. Provider_103,Cardiologist,TER_MW_01,2,0,HealthSystem_8
NPI_1000000104,Dr. Provider_104,Cardiologist,TER_NE_01,5,0,HealthSystem_17
NPI_1000000105,Dr. Provider_105,Cardiologist,TER_NE_01,2,1,HealthSystem_12
NPI_1000000106,Dr. Provider_106,Oncologist,TER_SO_01,1,0,HealthSystem_11
NPI_1000000107,Dr. Provider_107,Internal Medicine,TER_MW_02,4,1,HealthSystem_18
NPI_1000000108,Dr. Provider_108,Cardiologist,TER_NE_01,5,0,HealthSystem_3
NPI_1000000109,Dr. Provider_109,Internal Medicine,TER_NE_01,8,1,HealthSystem_16
NPI_1000000110,Dr. Provider_110,Internal Medicine,TER_MW_02,1,0,HealthSystem_4
NPI_1000000111,Dr. Provider_111,Endocrinologist,TER_NE_02,2,0,HealthSystem_5
NPI_1000000112,Dr. Provider_112,Oncologist,TER_WE_02,3,0,HealthSystem_9
NPI_1000000113,Dr. Provider_113,Cardiologist,TER_MW_02,4,0,HealthSystem_13
NPI_1000000114,Dr. Provider_114,Internal Medicine,TER_SO_01,9,0,HealthSystem_5
NPI_1000000115,Dr. Provider_115,Rheumatologist,TER_NE_02,1,0,HealthSystem_13
NPI_1000000116,Dr. Provider_116,Cardiologist,TER_WE_02,2,0,HealthSystem_15
NPI_1000000117,Dr. Provider_117,Cardiologist,TER_SO_01,5,0,HealthSystem_17
NPI_1000000118,Dr. Provider_118,Internal Medicine,TER_NE_02,1,0,HealthSystem_16
NPI_1000000119,Dr. Provider_119,Cardiologist,TER_MW_02,6,1,HealthSystem_6
NPI_1000000120,Dr. Provider_120,Internal Medicine,TER_WE_01,6,1,HealthSystem_10
NPI_1000000121,Dr. Provider_121,Endocrinologist,TER_SO_01,3,0,HealthSystem_19
NPI_1000000122,Dr. Provider_122,Cardiologist,TER_MW_02,2,0,HealthSystem_2
NPI_1000000123,Dr. Provider_123,Endocrinologist,TER_WE_02,1,0,HealthSystem_3
NPI_1000000124,Dr. Provider_124,Endocrinologist,TER_MW_02,6,1,HealthSystem_17
NPI_1000000125,Dr. Provider_125,Cardiologist,TER_WE_01,3,0,HealthSystem_14
NPI_1000000126,Dr. Provider_126,Rheumatologist,TER_MW_01,8,0,HealthSystem_2
NPI_1000000127,Dr. Provider_127,Endocrinologist,TER_NE_02,4,0,HealthSystem_19
NPI_1000000128,Dr. Provider_128,Internal Medicine,TER_MW_02,4,0,HealthSystem_15
NPI_1000000129,Dr. Provider_129,Endocrinologist,TER_WE_01,3,0,HealthSystem_4
NPI_1000000130,Dr. Provider_130,Endocrinologist,TER_NE_01,3,0,HealthSystem_5
NPI_1000000131,Dr. Provider_131,Oncologist,TER_SO_01,2,0,HealthSystem_11
NPI_1000000132,Dr. Provider_132,Cardiologist,TER_MW_01,4,0,HealthSystem_16
NPI_1000000133,Dr. Provider_133,Cardiologist,TER_SO_02,5,0,HealthSystem_4
NPI_1000000134,Dr. Provider_134,Cardiologist,TER_MW_01,7,0,HealthSystem_18
NPI_1000000135,Dr. Provider_135,Rheumatologist,TER_MW_01,1,0,HealthSystem_10
NPI_1000000136,Dr. Provider_136,Cardiologist,TER_SO_01,4,0,HealthSystem_12
NPI_1000000137,Dr. Provider_137,Cardiologist,TER_NE_02,1,0,HealthSystem_9
NPI_1000000138,Dr. Provider_138,Cardiologist,TER_WE_01,4,0,HealthSystem_11
NPI_1000000139,Dr. Provider_139,Internal Medicine,TER_SO_01,1,0,HealthSystem_8
NPI_1000000140,Dr. Provider_140,Rheumatologist,TER_SO_01,10,0,HealthSystem_14
NPI_1000000141,Dr. Provider_141,Rheumatologist,TER_WE_01,4,0,HealthSystem_14
NPI_1000000142,Dr. Provider_142,Cardiologist,TER_MW_01,5,0,HealthSystem_14
NPI_1000000143,Dr. Provider_143,Rheumatologist,TER_MW_02,1,0,HealthSystem_3
