Date,Year,Month,Product_ID,Territory_ID,TRx_Count,NRx_Count,Refill_Count,Gross_Sales_USD,Net_Sales_USD,Sales_Rep_Calls,Sample_Units_Distributed
2023-01-01,2023,1,PRD_001,TER_NE_01,387,74,313,226395,153948.6,50,33
2023-01-01,2023,1,PRD_001,TER_NE_02,363,109,254,212355,144401.4,72,75
2023-01-01,2023,1,PRD_001,TER_MW_01,323,75,248,188955,128489.4,62,41
2023-01-01,2023,1,PRD_001,TER_MW_02,357,112,245,208845,142014.6,73,87
2023-01-01,2023,1,PRD_001,TER_SO_01,442,122,320,258570,175827.6,72,61
2023-01-01,2023,1,PRD_001,TER_SO_02,481,143,338,281385,191341.8,64,83
2023-01-01,2023,1,PRD_001,TER_WE_01,489,149,340,286065,194524.2,32,73
2023-01-01,2023,1,PRD_001,TER_WE_02,485,147,338,283725,192933.0,47,89
2023-01-01,2023,1,PRD_002,TER_NE_01,446,80,366,263140,171041.0,61,33
2023-01-01,2023,1,PRD_002,TER_NE_02,421,60,361,248390,161453.5,47,41
2023-01-01,2023,1,PRD_002,TER_MW_01,418,68,350,246620,160303.0,35,53
2023-01-01,2023,1,PRD_002,TER_MW_02,464,99,365,273760,177944.0,52,53
2023-01-01,2023,1,PRD_002,TER_SO_01,578,119,459,341020,221663.0,32,60
2023-01-01,2023,1,PRD_002,TER_SO_02,485,68,417,286150,185997.5,56,41
2023-01-01,2023,1,PRD_002,TER_WE_01,549,86,463,323910,210541.5,33,47
2023-01-01,2023,1,PRD_002,TER_WE_02,551,86,465,325090,211308.5,73,43
2023-01-01,2023,1,PRD_003,TER_NE_01,431,93,338,6465,4202.25,74,49
2023-01-01,2023,1,PRD_003,TER_NE_02,433,64,369,6495,4221.75,51,50
2023-01-01,2023,1,PRD_003,TER_MW_01,467,93,374,7005,4553.25,56,60
2023-01-01,2023,1,PRD_003,TER_MW_02,475,72,403,7125,4631.25,34,38
2023-01-01,2023,1,PRD_003,TER_SO_01,516,90,426,7740,5031.0,49,41
2023-01-01,2023,1,PRD_003,TER_SO_02,491,79,412,7365,4787.25,44,35
2023-01-01,2023,1,PRD_003,TER_WE_01,550,105,445,8250,5362.5,59,70
2023-01-01,2023,1,PRD_003,TER_WE_02,540,89,451,8100,5265.0,63,65
2023-01-01,2023,1,PRD_004,TER_NE_01,362,103,259,452500,307700.0,45,81
2023-01-01,2023,1,PRD_004,TER_NE_02,371,105,266,463750,315350.0,70,74
2023-01-01,2023,1,PRD_004,TER_MW_01,346,88,258,432500,294100.0,67,44
2023-01-01,2023,1,PRD_004,TER_MW_02,375,95,280,468750,318750.0,37,44
2023-01-01,2023,1,PRD_004,TER_SO_01,466,137,329,582500,396100.0,55,81
2023-01-01,2023,1,PRD_004,TER_SO_02,442,88,354,552500,375700.0,68,60
2023-01-01,2023,1,PRD_004,TER_WE_01,509,127,382,636250,432650.0,43,58
2023-01-01,2023,1,PRD_004,TER_WE_02,481,92,389,601250,408850.0,68,60
2023-01-01,2023,1,PRD_005,TER_NE_01,182,44,138,332150,225862.0,40,31
2023-01-01,2023,1,PRD_005,TER_NE_02,192,54,138,350400,238272.0,27,43
2023-01-01,2023,1,PRD_005,TER_MW_01,186,54,132,339450,230826.0,67,28
2023-01-01,2023,1,PRD_005,TER_MW_02,180,51,129,328500,223380.0,70,32
2023-01-01,2023,1,PRD_005,TER_SO_01,229,66,163,417925,284189.0,60,26
2023-01-01,2023,1,PRD_005,TER_SO_02,222,63,159,405150,275502.0,36,43
2023-01-01,2023,1,PRD_005,TER_WE_01,218,43,175,397850,270538.0,30,32
2023-01-01,2023,1,PRD_005,TER_WE_02,222,70,152,405150,275502.0,28,38
2023-01-01,2023,1,PRD_006,TER_NE_01,462,72,390,900900,585585.0,50,40
2023-01-01,2023,1,PRD_006,TER_NE_02,449,77,372,875550,569107.5,64,36
2023-01-01,2023,1,PRD_006,TER_MW_01,426,73,353,830700,539955.0,31,43
2023-01-01,2023,1,PRD_006,TER_MW_02,410,78,332,799500,519675.0,48,34
2023-01-01,2023,1,PRD_006,TER_SO_01,565,81,484,1101750,716137.5,48,54
2023-01-01,2023,1,PRD_006,TER_SO_02,518,105,413,1010100,656565.0,55,42
2023-01-01,2023,1,PRD_006,TER_WE_01,574,87,487,1119300,727545.0,48,46
2023-01-01,2023,1,PRD_006,TER_WE_02,506,102,404,986700,641355.0,62,49
2023-01-01,2023,1,PRD_007,TER_NE_01,440,102,338,1496000,1017280.0,54,54
