Date,Year,Month,Product_ID,Territory_ID,TRx_Count,NRx_Count,Refill_Count,Gross_Sales_USD,Net_Sales_USD,Sales_Rep_Calls,Sample_Units_Distributed,Month_Num,Year_Num,Lag_1_TRx,Lag_2_TRx,Rolling_3M_Mean,Forecasted_TRx,Forecast_Variance
2023-04-01,2023,4,PRD_001,TER_MW_01,413,125,288,241605,164291.4,43,65,4,2023,415.0,345.0,361.0,413.0,0.0
2023-05-01,2023,5,PRD_001,TER_MW_01,409,127,282,239265,162700.2,62,65,5,2023,413.0,415.0,391.0,409.0,0.0
2023-06-01,2023,6,PRD_001,TER_MW_01,347,77,270,202995,138036.6,51,43,6,2023,409.0,413.0,412.3333333333333,347.0,0.0
2023-07-01,2023,7,PRD_001,TER_MW_01,385,75,310,225225,153153.0,73,44,7,2023,347.0,409.0,389.6666666666667,385.0,0.0
2023-08-01,2023,8,PRD_001,TER_MW_01,352,102,250,205920,140025.6,33,81,8,2023,385.0,347.0,380.3333333333333,352.0,0.0
2023-09-01,2023,9,PRD_001,TER_MW_01,366,102,264,214110,145594.8,47,76,9,2023,352.0,385.0,361.3333333333333,366.0,0.0
2023-10-01,2023,10,PRD_001,TER_MW_01,362,81,281,211770,144003.6,31,34,10,2023,366.0,352.0,367.6666666666667,362.0,0.0
2023-11-01,2023,11,PRD_001,TER_MW_01,388,111,277,226980,154346.4,28,61,11,2023,362.0,366.0,360.0,388.0,0.0
2023-12-01,2023,12,PRD_001,TER_MW_01,437,113,324,255645,173838.6,30,60,12,2023,388.0,362.0,372.0,437.0,0.0
2024-01-01,2024,1,PRD_001,TER_MW_01,407,77,330,238095,161904.6,56,52,1,2024,437.0,388.0,395.6666666666667,407.0,0.0
2024-02-01,2024,2,PRD_001,TER_MW_01,439,98,341,256815,174634.2,68,64,2,2024,407.0,437.0,410.6666666666667,439.0,0.0
2024-03-01,2024,3,PRD_001,TER_MW_01,400,126,274,234000,159120.0,46,85,3,2024,439.0,407.0,427.6666666666667,400.0,0.0
2024-04-01,2024,4,PRD_001,TER_MW_01,415,128,287,242775,165087.0,56,84,4,2024,400.0,439.0,415.3333333333333,415.0,0.0
2024-05-01,2024,5,PRD_001,TER_MW_01,460,99,361,269100,182988.0,60,74,5,2024,415.0,400.0,418.0,460.0,0.0
2024-06-01,2024,6,PRD_001,TER_MW_01,458,115,343,267930,182192.4,44,71,6,2024,460.0,415.0,425.0,458.0,0.0
